灵茶名称,季节,生长天数,基础卖价,灵品卖价,云海需求,特殊效果（饮用/送礼/制作）,最爱角色
初雾绿茶,春,9,180,850,薄雾以上,增加1点体力上限,阿茶
夏云白茶,夏,11,220,1100,浓云海,移动速度+20%（2小时）,茶九
秋霜乌龙,秋,13,260,1350,任意,好感度获取+30%（当天）,阿茶/烟萝
冬雪银针,冬,16,320,1680,浓云海,战斗中减少30%伤害,晚星/玄清
灵雾青茶,全季,10,200,920,薄雾,灵兽亲密度+50,小满
云巅金芽,春/夏,14,450,2200,大潮,制作金芽茶点并提升村民集体好感,所有角色
星隐红茶,秋/冬,12,280,1480,浓云海,夜间观星时触发特殊事件,晚星
竹影幽茶,春,8,160,780,任意,制作茶具时成功率+50%,素锦
岩骨黑茶,秋,15,310,1550,薄雾,增加饱腹度与防御,雾川/老槐
梦云紫茶,夏,18,380,1950,大潮,解锁隐藏对话与CG,茶九/烟萝
守护松针,冬,20,420,2100,浓云海,山庄灵气永久+5,玄清/雾川
太初元茶（传说）,全季,28,1200,6800,大潮+高灵气,触发主线关键剧情并永久全属性提升,全角色
