event_id,npc_id,phase,heart_level,trigger_summary,reward_flag
acha_h6,acha,turning,6,雨中同伞后触发往事伤痕,tea_recipe_unlock_tier2
acha_h10,acha,finale,10,百年茶树下誓言,tea_quality_global_plus_1
xiaoman_h6,xiaoman,turning,6,灵兽深夜陪护后触发,beast_care_efficiency_up
xiaoman_h10,xiaoman,finale,10,万兽见证告白,beast_work_stamina_half
sujin_h6,sujin,turning,6,家族相亲冲突解决,fashion_line_unlock
sujin_h10,sujin,finale,10,山庄新装宣言,furniture_fashion_unlock_all
yanluo_h6,yanluo,turning,6,篝火夜谈与伤痕揭示,realm_scout_bonus
yanluo_h10,yanluo,finale,10,归巢誓言,realm_trap_damage_ignore
qiutang_h6,qiutang,turning,6,深夜书房研发药剂,stamina_recover_bonus
qiutang_h10,qiutang,finale,10,永恒配方,stamina_cap_plus_100
wuchuan_h6,wuchuan,turning,6,商业孤独线揭示,inn_trade_bonus
wuchuan_h10,wuchuan,finale,10,合伙协议求婚,inn_income_x2
chajiu_h6,chajiu,turning,6,味觉失灵线修复,cooking_quality_bonus
chajiu_h10,chajiu,finale,10,共餐一世,cooking_output_x2
asi_h6,asi,turning,6,毒发危机后首次出门,snake_affinity_unlock
asi_h10,asi,finale,10,阳光下的吻,legendary_pet_ouroboros
laohuai_h6,laohuai,turning,6,逆龄真相揭示,time_memory_scene_unlock
laohuai_h10,laohuai,finale,10,同根而生,crop_growth_speed_up_major
jinshi_h6,jinshi,turning,6,重拾木工刀,build_speed_bonus
jinshi_h10,jinshi,finale,10,筑梦余生,build_material_cost_half
