Id,NpcId,TriggerCondition,CommentText,SeasonLimit,WeatherLimit,EcoState
ecom_cha_cloud_1,acha,CloudDominant,今天的庄园风意轻扬，$[PLAYER_NAME]，是你最近种了太多风系茶吗？,any,any,CloudElementHigh
ecom_cha_cloud_2,acha,CloudDominant,云气弥漫，$[PLAYER_NAME]$。这种时候泡茶，最是香醇。,any,any,CloudElementHigh
ecom_cha_balance_1,acha,BalanceScoreHigh,五气相和，$[PLAYER_NAME]$。庄园的气息越来越好了。,any,any,Balanced
ecom_cha_balance_2,acha,BalanceScoreHigh,这般平衡的庄园，泡出来的茶一定格外醇厚。$[PLAYER_NAME]$，感觉到了吗？,any,any,Balanced
ecom_cha_aura_1,acha,AuraLevelHigh,庄园的灵气越来越充沛了，$[PLAYER_NAME]$。茶树都长得精神了许多。,any,any,AuraLevelHigh
ecom_lin_cloud_1,lin,CloudDominant,老头子闻到了，$[PLAYER_NAME]$。这庄园的风向变了。,any,any,CloudElementHigh
ecom_lin_balance_1,lin,BalanceScoreHigh,这庄子越来越有灵气了，$[PLAYER_NAME]$。让老头子想起年轻时候的日子。,any,any,Balanced
ecom_lin_aura_1,lin,AuraLevelHigh,好一股清气，$[PLAYER_NAME]$。这山庄有你在，是大家的福气。,any,any,AuraLevelHigh
ecom_wan_cloud_1,wanxing,CloudDominant,云海的颜色变了，$[PLAYER_NAME]$。今天的庄园像一幅水墨画。,any,any,CloudElementHigh
ecom_wan_balance_1,wanxing,BalanceScoreHigh,这般和谐的气息，$[PLAYER_NAME]$。让我想起了夜空中的星云。,any,any,Balanced
ecom_wan_aura_1,wanxing,AuraLevelHigh,灵气充盈，$[PLAYER_NAME]$。这种感觉，像是站在云海之巅。,any,any,AuraLevelHigh
ecom_wan_tide_1,wanxing,TideDominant,潮汐的气息涌动着，$[PLAYER_NAME]$。这预示着什么吗？,any,any,TideElementHigh
ecom_xiaoman_cloud_1,xiaoman,CloudDominant,云好多呀，$[PLAYER_NAME]$！灵兽们今天特别兴奋！,any,any,CloudElementHigh
ecom_xiaoman_balance_1,xiaoman,BalanceScoreHigh,庄园的气息好舒服，$[PLAYER_NAME]$。大家都变得温柔了呢！,any,any,Balanced
ecom_xiaoman_aura_1,xiaoman,AuraLevelHigh,灵气好浓呀，$[PLAYER_NAME]$！灵兽们都在欢快地叫呢！,any,any,AuraLevelHigh
ecom_song_cloud_1,song,CloudDominant,云气旺，$[PLAYER_NAME]$。这时候的特产可值钱了呢。,any,any,CloudElementHigh
ecom_song_balance_1,song,BalanceScoreHigh,庄园打理得不错，$[PLAYER_NAME]$。有种什么都值钱的感觉。,any,any,Balanced
ecom_yu_cloud_1,yu,CloudDominant,云层在变化，$[PLAYER_NAME]$。今天的庄园有一种朦胧的美。,any,any,CloudElementHigh
ecom_yu_balance_1,yu,BalanceScoreHigh,五气调和，$[PLAYER_NAME]$。这样的云海最是宁静。,any,any,Balanced
ecom_yu_aura_1,yu,AuraLevelHigh,灵气充盈，$[PLAYER_NAME]$。站在这里，连呼吸都变得轻松了。,any,any,AuraLevelHigh
ecom_mo_cloud_1,mo,MistWeather,雾……$[PLAYER_NAME]$……像……梦……,any,Mist,CloudElementHigh
ecom_mo_balance_1,mo,BalanceScoreHigh,……安静……$[PLAYER_NAME]$……很……舒服……,any,any,Balanced
ecom_qiao_cloud_1,qiao,CloudDominant,这云色入画正好，$[PLAYER_NAME]$。我得赶紧绣下来。,any,any,CloudElementHigh
ecom_qiao_balance_1,qiao,BalanceScoreHigh,这般和谐的庄园，$[PLAYER_NAME]$。每一处都值得入绣。,any,any,Balanced
ecom_he_cloud_1,he,CloudDominant,云涌如潮，$[PLAYER_NAME]$。此景只应天上有。,any,any,CloudElementHigh
ecom_he_balance_1,he,BalanceScoreHigh,天人合一，$[PLAYER_NAME]$。这庄园已近道境。,any,any,Balanced
ecom_ning_cloud_1,ning,CloudDominant,云气护花，$[PLAYER_NAME]$。花圃里的花今天开得特别好。,spring,any,CloudElementHigh
ecom_ning_balance_1,ning,BalanceScoreHigh,五气调和，$[PLAYER_NAME]$。花儿们都在欢快地生长呢。,any,any,Balanced
ecom_an_cloud_1,an,CloudDominant,云气流转，$[PLAYER_NAME]$。此乃天地之和气也。,any,any,CloudElementHigh
ecom_an_balance_1,an,BalanceScoreHigh,阴阳调和，$[PLAYER_NAME]$。庄园已近天人合一之境。,any,any,Balanced
ecom_shu_cloud_1,shu,MistWeather,雾蒙蒙的好浪漫，$[PLAYER_NAME]$！像仙境一样！,any,Mist,CloudElementHigh
ecom_shu_balance_1,shu,BalanceScoreHigh,好舒服的感觉，$[PLAYER_NAME]$！大家都变得温柔起来了！,any,any,Balanced
ecom_yan_cloud_1,yan,CloudDominant,云气充沛，$[PLAYER_NAME]$。此乃修行之良机。,any,any,CloudElementHigh
ecom_yan_balance_1,yan,BalanceScoreHigh,五行调和，$[PLAYER_NAME]$。庄园已达上善之境。,any,any,Balanced
ecom_yan_aura_1,yan,AuraLevelHigh,灵气充盈，$[PLAYER_NAME]$。在此修行，事半功倍。,any,any,AuraLevelHigh
