Id,TeaSpiritId,TeaId,RequiredQuality,Season,TimeRange,WeatherLimit,LocationId,ExtraCondition,Description
rule_1,spirit_initial_mist,tea_wu_mountain,Holy,spring,06:00-10:00,Mist|Tide|None,teahouse|teafield,None,春季清晨薄雾或大潮时于茶室或茶田饮用圣品初雾绿茶
rule_2,spirit_morning_dew,tea_morning_dew,Holy,spring|summer,06:00-08:00,Mist|None,teahouse|farm,None,雨后清晨于茶室或农场饮用圣品晨露白茶
rule_3,spirit_twilight_oolong,tea_twilight_oolong,Holy,summer,17:00-19:00,None|Cloud,teahouse|teafield,None,夏季黄昏于茶室或茶田饮用圣品暮霞乌龙
rule_4,spirit_autumn_frost,tea_autumn_frost,Holy,autumn,18:00-22:00,None|Cloud,teahouse|teafield,None,秋季夜晚于茶室或茶田饮用圣品秋霜乌龙
rule_5,spirit_winter_snow,tea_winter_snow,Holy,winter,00:00-23:59,Snowy|Tide|None,teahouse|snowfield,None,冬季雪天或大潮时饮用圣品冬雪银针
rule_6,spirit_cloud_apex,tea_cloud_apex,Holy,spring|summer|autumn|winter,any,None,teahouse|observation,HighAura,高灵气状态下于茶室静坐后饮用云巅金芽
rule_7,spirit_blue_berry,tea_blue_berry,Holy,summer,any,Cloud|Tide|None,teahouse|berry_field,None,浓云海或大潮时饮用圣品云莓红茶
rule_8,spirit_pine_smoke,tea_pine_smoke,Holy,winter,18:00-23:59,None,teahouse|forest,None,冬季夜晚于茶室或森林饮用圣品松烟黑茶
rule_9,spirit_star_frost,tea_star_frost,Holy,winter,20:00-23:59,Tide|None,teahouse|observation,None,大潮之夜于茶室或观云台饮用圣品星霜雪茶
rule_10,spirit_rock_bone,tea_rock_bone,Holy,spring|summer|autumn|winter,any,spirit_realm|deep,None,灵界深层饮用圣品岩骨黑茶
rule_11,spirit_spirit_orchid,tea_spirit_orchid,Holy,spring,any,Cloud|Tide|None,teahouse|garden,None,春季浓云海或大潮时饮用圣品灵兰花茶
rule_12,spirit_frost_needle,tea_frost_needle,Holy,winter,any,Mist|None,teahouse|garden,None,冬季薄雾时饮用圣品霜针灵茶
rule_13,spirit_moon_silver,tea_moon_silver,Holy,autumn,18:00-23:59,None,teahouse|observation,None,秋日夜间于茶室或观云台饮用圣品望月银茶
rule_14,spirit_summer_cloud,tea_summer_cloud,Holy,summer,any,Cloud|Tide|None,teahouse|teafield,None,夏季浓云海或大潮时饮用圣品夏云白茶
rule_15,spirit_dream_cloud,tea_dream_cloud,Holy,summer|autumn,any,Tide|None,teahouse|mystical,None,大潮之夜于茶室或神秘区域饮用圣品梦云紫茶
rule_16,spirit_tide_heart,tea_tide_heart,Holy,spring|summer|autumn|winter,any,Tide,teahouse|observation,None,大潮之日于观云台饮用圣品潮心古茶
rule_17,spirit_original_origin,tea_original_origin,Holy,spring|summer|autumn|winter,any,Tide,teahouse|observation,EcoBalanced,完美平衡生态下大潮饮用圣品太初元茶
rule_18,spirit_jade_spring,tea_jade_spring,Holy,spring,any,Mist|Cloud|None,teahouse|spring,None,春季山泉旁饮用圣品玉泉鹿茶
rule_19,spirit_cloud_fire,tea_cloud_fire,Holy,spring|summer|autumn|winter,any,Tide,observation|MainHouse,None,大潮之夜于观云台饮用圣品云火凤茶
rule_20,spirit_stardust,tea_stardust,Holy,autumn,any,Cloud|Tide|None,teahouse|observation,None,秋日夜晚浓云海饮用圣品星尘鹿茶
